Index,Version ID,Version Name,Date
1,12312343,0.9.0,org.example.entities.Release@7ea37dbf
2,12312342,0.9.6,org.example.entities.Release@70be0a2b
3,12312340,0.9.7,org.example.entities.Release@2133814f
4,12312341,1.0.0,org.example.entities.Release@4c15e7fd
5,12312687,1.0.1,org.example.entities.Release@23986957
6,12312846,1.0.2,org.example.entities.Release@23f7d05d
7,12312344,1.1.0,org.example.entities.Release@1e730495
8,12312969,1.0.3,org.example.entities.Release@7d3a22a9
9,12313102,1.2.0,org.example.entities.Release@1d082e88
10,12313624,2.0.0-M1,org.example.entities.Release@60704c
11,12313328,1.2.1,org.example.entities.Release@6b19b79
12,12313483,2.0.0-M2,org.example.entities.Release@2a32de6c
13,12314148,2.0.0-M3,org.example.entities.Release@7692d9cc
14,12313681,1.2.2,org.example.entities.Release@75f32542
15,12314149,2.0.0-beta,org.example.entities.Release@7f1302d6
16,12314802,2.0.0-beta2,org.example.entities.Release@43ee72e6
17,12314857,2.0.0-beta3,org.example.entities.Release@23529fee
18,12314019,2.0.0,org.example.entities.Release@4fe767f3
19,12314532,2.0.1,org.example.entities.Release@2805c96b
20,12313301,1.0.4,org.example.entities.Release@184cf7cf
21,12314542,2.1.0,org.example.entities.Release@2fd6b6c7
22,12316191,2.1.1,org.example.entities.Release@5bfa9431
23,12315910,2.2.0,org.example.entities.Release@5db250b4
24,12319943,2.2.1,org.example.entities.Release@223f3642
25,12314517,1.2.3,org.example.entities.Release@38c5cc4c
26,12323356,2.2.2,org.example.entities.Release@37918c79
27,12319463,2.3.0,org.example.entities.Release@78e94dcf
28,12325298,2.4.0,org.example.entities.Release@233fe9b6
29,12332295,2.4.1,org.example.entities.Release@358ee631
30,12334871,2.4.2,org.example.entities.Release@ec756bd
31,12338127,3.0.0,org.example.entities.Release@3c72f59f
32,12343421,3.1.0,org.example.entities.Release@60dcc9fe
33,12345232,3.1.1,org.example.entities.Release@222114ba
34,12346990,3.1.2,org.example.entities.Release@16e7dcfd
35,12348547,3.2.0,org.example.entities.Release@3d121db3
36,12350116,3.2.1,org.example.entities.Release@3b07a0d6
37,12351466,3.2.2,org.example.entities.Release@11a9e7c8
